;;;#of times;de;;;
;1173;3;4;294;1.9;;0.0019
;1177;1;4;295;1.9;;0.0019
;1181;4;4;296;1.9;;0.0019
;1185;10.96;4;297;2.5;;0.0025
;1189;7.93;4;298;2.5;;0.0025
;1193;9.93;4;299;2.5;;0.0025
;1197;5.93;4;300;2.5;;0.0025
;1201;1;4;301;2.7;;0.0027
;1205;1.8;4;302;2.7;;0.0027
;1209;4.9;4;303;2.7;;0.0027
;1213;3;4;304;2.7;;0.0027
;1217;5.3;4;305;3.1;;0.0031
;1221;2.4;4;306;3.1;;0.0031
;1225;1;4;307;3.1;;0.0031
;1229;1.6;4;308;3.1;;0.0031
;1233;4.75;4;309;2.5;;0.0025
;1237;2.2;4;310;2.5;;0.0025
;1241;5;4;311;2.5;;0.0025
;1245;2;4;312;2.5;;0.0025
;1249;0.8;4;313;1.3;;0.0013
;1253;1.4;4;314;1.3;;0.0013
;1257;4.75;4;315;1.3;;0.0013
;1261;1.9;4;316;1.3;;0.0013
;1265;4.63;4;317;1.5;;0.0015
;1269;1.8;4;318;1.5;;0.0015
;1273;0.6;4;319;1.5;;0.0015
;1277;1.24;4;320;1.5;;0.0015
;1281;3.4;4;321;1.1;;0.0011
;1285;1.69;4;322;1.1;;0.0011
;1289;4;4;323;1.1;;0.0011
;1293;1.55;4;324;1.1;;0.0011
;1297;0.7;4;325;2;;0.002
;1301;1;4;326;2;;0.002
;1305;1;4;327;2;;0.002
;1309;0.7;4;328;2;;0.002
;1313;1.5;4;329;2.5;;0.0025
;1317;1;4;330;2.5;;0.0025
;1321;0.7;4;331;2.5;;0.0025
;1325;0.8;4;332;2.5;;0.0025
;1329;0.9;4;333;2;;0.002
;1333;1.5;4;334;2;;0.002
;1337;0.79;4;335;2;;0.002
;1341;0.8;4;336;2;;0.002
;1345;0.95;4;337;2.1;;0.0021
;1349;1.24;4;338;2.1;;0.0021
;1353;1.35;4;339;2.1;;0.0021
;1357;0.95;4;340;2.1;;0.0021
;1361;0.75;4;341;4;;0.004
;1365;0.68;4;342;4;;0.004
;1369;0.75;4;343;4;;0.004
